id,Title,Content,SKU,"Product Type","Parent Product ID",_role_based_pricing_rules,_customer_based_pricing_rules
58574,"Carefree Connects: Wireless Awning Control System with Auto-Retraction (BT12)","<style>
h3 {text-align:center;}
   @media (max-width:767px) {
    .mobile-hide .list-arrows li {width:90%;}

   }
       </style>

<h3>Order now to <span style=""color:orange;"">upgrade your awning today!</span></h3>

<div class=""mobile-hide"">
<ul class=""list-arrows"">
<li>Bluetooth connectivity for easy, consistent wireless control</li>
<li>Extend or retract your awning with just a push of a button</li>
<li>Adjust the brightness of your LEDs or toggle them on/off</li>
<li>No more getting up and going inside your RV to adjust your awning</li>
<li>BT Motion Sensor provides auto-retraction from sustained motion due
to inclement weather</li>
<li>Adjust the BT motion sensitivity from the app to maximize
motion detection</li>
<li>Get an instant notification via the mobile app if auto-retraction occurs</li>
</ul>
<h3>Download The App:</h3>
<div style=""text-align:center;margin:15px 0px;"">
<a href=""https://itunes.apple.com/us/app/carefree-connects/id1274560965?mt=8"" target=""_blank"" rel=""noopener""><img alt=""Apple App Store Button"" src=""/images/photos/app-store-apple-logo.png"" style=""width:120px;height:40px""/></a><a href=""https://play.google.com/store/apps/details?id=com.carefree.carefreeconnects"" target=""_blank"" rel=""noopener""><img alt=""Get on Google Play"" src=""https://www.carefreeofcolorado.com/images/photos/google-play-badge.png"" style=""width:120px;height:40px""/></a>
</div>
</div>",901601,simple,0,,
58576,"Rafter 7 with Gas Shock Assist - WHITE","<h2 class=""subtitle""> Rafter 7 with Gas Shock Assist. </h2>
<p>Color= WHITE. Rafter comes with gas shock assist. Extends 8'. Eliminates the need to re-tension the rafter when you raise your awning. Will not work on awnings with Uniguard. Ground Support Sold separate.  </p>
<br/>
<p>See <a href=""#consider"">Important Considerations</a> below.</p>",902815WHT,simple,0,,
58578,"Rafter 7 with Gas Shock Assist - SATIN / BLACK","<h2 class=""subtitle""> Rafter 7 with Gas Shock Assist. </h2>
<p>Color= SATIN - BLACK. Rafter comes with gas shock assist. Extends 8'. Eliminates the need to re-tension the rafter when you raise your awning. Will not work on awnings with Uniguard. Ground Support sold separate. </p>
<br/>
<p>See <a href=""#consider"">Important Considerations</a> below.</p>",902810,simple,0,,
58580,"Black Automatic Awning Support Cradle","<h2 class=""subtitle""> Automatic Awning Support Cradle</h2>
<p>Color-BLACK. Works with all brands of RV Awnings.  Rollers on all brands of longer awnings will have a tendency to bounce and flex during travel.  This can over time lead to the roller taking a permanent set, causing wobbly roll-up and an undesirable  canopy.  The Carefree Awning Support Cradle receives the roller and supports it eliminating sag.  Unroll the awning and the Automatic Support Cradle releases the roller and pivots open, ready to accept the roller again.  The patented support action of our unique cradle receives the roller and gently supports it eliminating all the weight and natural sag in the middle of the roller. Easy to install and go, no need to tension this awning support after you roll up the awning!  Please note: Will not work on awnings with Uniguard.</p>
<br/>",902800,simple,0,,
58582,"White Straight Rafters (BOGO)","<p style=""text-align: center; font-size: 1.2em; font-weight: bold;""><span style=""color: red;"">*</span> Fits awnings with roller tubes with an 8' extension</p>
Carefree's new Rafters are designed to add rigidity and further support to your awning. Installing the Rafter is simple and easy. It does not require a drill for installation unlike most rafters available today as it hooks directly to your awning rail and with the quick turn of the locking knob, the rafter quickly extends to fit snugly against the roll bar.

Carefree rafters also include an industry first utility slot to quickly hang side blockers, side panels or other awning accessories.
<div>
<div class=""row"">
<div class=""col-lg-4 col-md-4 col-sm-4 col-xs-6 mobile-img"">

<img style=""width: 100%;"" src=""/images/photos/rafter-product-images/IMG_6138.jpg"" />
<div class=""bottom-right-txt"">Easy to use knob</div>
</div>
<div class=""col-lg-4 col-md-4 col-sm-4 col-xs-6 mobile-img"">

<img style=""width: 100%;"" src=""/images/photos/rafter-product-images/IMG_6137.jpg"" />
<div class=""bottom-right-txt"">Attaches to awning rail</div>
</div>
<div class=""col-lg-4 col-md-4 col-sm-4 col-xs-12 mobile-img"">

<img style=""width: 100%;"" src=""/images/photos/rafter-product-images/IMG_6136.jpg"" />
<div class=""bottom-right-txt"">Cradles your roll bar</div>
</div>
</div>
</div>",902820WHT-PR,simple,0,,
58584,"Straight Rafter - White","<p style=""text-align:center;font-size:1.2em;font-weight:bold;""><span style=""color:red;"">*</span> Fits awnings with roller tubes with an 8' extension</p>
<p>Carefree's new Straight Rafter is a straight rafter designed to add rigidity and further support to your awning.  Installing the Straight Rafter is simple and easy.  It does not require a drill for installation unlike most rafters available today as it hooks directly to your awning rail and with the quick turn of the locking knob, the rafter quickly extends to fit snugly against the roll bar.</p>
<p>The Straight Rafter also includes an industry first utility slot to quickly hang side blockers, side panels or other awning accessories.</p>
<p>The Straight Rafter is available in black and white hardware color options.</p>",902820WHT,simple,0,,
58589,"Straight Rafters - Black (BOGO)","<p style=""text-align:center;font-size:1.2em;font-weight:bold;""><span style=""color:red;"">*</span> Fits awnings with roller tubes with an 8' extension</p>
<p>Carefree's new Rafters are designed to add rigidity and further support to your awning. Installing the Rafter is simple and easy. It does not require a drill for installation unlike most rafters available today as it hooks directly to your awning rail and with the quick turn of the locking knob, the rafter quickly extends to fit snugly against the roll bar.</p>
<p>Carefree rafters also include an industry first utility slot to quickly hang side blockers, side panels or other awning accessories.</p>
<br/>
<div class=""container"">
<div class=""row"" style=""text-align:center;"">
<div class=""col-lg-4 col-md-4 col-sm-4 col-xs-6 mobile-img"">
<img src=""/images/photos/rafter-product-images/IMG_6138.jpg"" style=""width:100%;""/>
<div class=""bottom-right-txt"">Easy to use knob</div>
</div>
<div class=""col-lg-4 col-md-4 col-sm-4 col-xs-6 mobile-img"">
<img src=""/images/photos/rafter-product-images/IMG_6137.jpg"" style=""width:100%;""/>
<div class=""bottom-right-txt"">Attaches to awning rail</div>
</div>
<div class=""col-lg-4 col-md-4 col-sm-4 col-xs-12 mobile-img"">
<img src=""/images/photos/rafter-product-images/IMG_6136.jpg"" style=""width:100%;""/>
<div class=""bottom-right-txt"">Cradles your roll bar</div>
</div>
</div>
</div>",902820BLK-PR,simple,0,,
58591,"Straight Rafter - Black","<p style=""text-align:center;font-size:1.2em;font-weight:bold;""><span style=""color:red;"">*</span> Fits awnings with roller tubes with an 8' extension</p>
<p>Carefree's new Straight Rafter is a straight rafter designed to add rigidity and further support to your awning.  Installing the Straight Rafter is simple and easy.  It does not require a drill for installation unlike most rafters available today as it hooks directly to your awning rail and with the quick turn of the locking knob, the rafter quickly extends to fit snugly against the roll bar.</p>
<p>The Straight Rafter also includes an industry first utility slot to quickly hang side blockers, side panels or other awning accessories.</p>
<p>The Straight Rafter is available in black and white hardware color options.</p>",902820BLK,simple,0,,
58596,"Curved Rafters - White (BOGO)","<p style=""text-align:center;font-size:1.2em;font-weight:bold;""><span style=""color:red;"">*</span> Fits awnings with roller tubes with an 8' extension</p>
<p>Carefree's new Rafters are designed to add rigidity and further support to your awning. Installing the Rafter is simple and easy. It does not require a drill for installation unlike most rafters available today as it hooks directly to your awning rail and with the quick turn of the locking knob, the rafter quickly extends to fit snugly against the roll bar.</p>
<p>Carefree rafters also include an industry first utility slot to quickly hang side blockers, side panels or other awning accessories.</p>
<br/>
<div class=""container"">
<div class=""row"">
<div class=""col-lg-4 col-md-4 col-sm-4 col-xs-6 mobile-img"">
<img src=""/images/photos/rafter-product-images/IMG_6138.jpg"" style=""width:100%;""/>
<div class=""bottom-right-txt"">Easy to use knob</div>
</div>
<div class=""col-lg-4 col-md-4 col-sm-4 col-xs-6 mobile-img"">
<img src=""/images/photos/rafter-product-images/IMG_6137.jpg"" style=""width:100%;""/>
<div class=""bottom-right-txt"">Attaches to awning rail</div>
</div>
<div class=""col-lg-4 col-md-4 col-sm-4 col-xs-12 mobile-img"">
<img src=""/images/photos/rafter-product-images/IMG_6136.jpg"" style=""width:100%;""/>
<div class=""bottom-right-txt"">Cradles your roll bar</div>
</div>
</div>
</div>",902821WHT-PR,simple,0,,
58598,"Curved Rafter - White","<p style=""text-align:center;font-size:1.2em;font-weight:bold;""><span style=""color:red;"">*</span> Fits awnings with roller tubes with an 8' extension</p>
<p>Carefree's new Arc Rafter is a curved rafter designed to add rigidity and further support to your awning.  Installing the Arc Rafter is simple and easy.  It does not require a drill for installation unlike most rafters available today as it hooks directly to your awning rail and with the quick turn of the locking knob, the rafter quickly extends to fit snugly against the roll bar.</p>
<p>The Arc Rafter also includes an industry first utility slot to quickly hang side blockers, side panels or other awning accessories.</p>
<p>The Arc Rafter is available in black and white hardware color options.</p>",902821WHT,simple,0,,
